"","year","haul_number","stratum","area","Indicator","month","day","vessel","strata","meandepth","hauling_time","ptot","Lat","Lon","sqkm","W_sqkm","doy","hour"
"150",1996,48,"B",17,190,6,11,"EGU","B",78.15,356,530,43.7321666666667,14.3195,0.0458012268,11.5717424407505,163,3
"151",1996,49,"B",17,165,6,11,"EGU","B",75.1,617,3800,43.9516666666667,14.5491666666667,0.0423343962,89.7615258771542,163,6
"152",1996,50,"B",17,195,6,11,"EGU","B",72.9,750,2430,43.9996666666667,14.3518333333333,0.0421390818,57.6661829399425,163,7
"153",1996,51,"B",17,155,6,11,"EGU","B",68.5,942,2100,44.1913333333333,14.2675,0.0419437674,50.0670333204261,163,9
"154",1996,52,"B",17,175,6,11,"EGU","B",66.3,1128,1030,44.2016666666667,14.0043333333333,0.0446618928,23.0621663218,163,11
"155",1996,53,"B",17,170,6,11,"EGU","B",66.7,1319,900,44.1968333333333,13.7378333333333,0.0505538772,17.8027888234851,163,13
"156",1996,54,"B",17,155,6,11,"EGU","B",68.05,1449,120,44.1026666666667,13.5885,0.0454431504,2.64066199072325,163,14
"157",1996,55,"B",17,185,6,11,"EGU","B",63.4,1607,70,44.0908333333333,13.4103333333333,0.04271109156,1.63891854418342,163,16
"158",1996,57,"A",17,105,6,12,"EGU","A",20.85,255,15,44.0023333333333,13.0318333333333,0.0428329325,0.350197829672297,164,2
"159",1996,59,"A",17,100,6,12,"EGU","A",16.35,504,30,44.0533333333333,12.8426666666667,0.041240912,0.727432991782529,164,5
"160",1996,60,"A",17,140,6,12,"EGU","A",50.85,944,110,44.1976666666667,13.028,0.0822641127,1.33715658492722,164,9
"161",1996,61,"A",17,210,6,12,"EGU","A",45.6,1141,1750,44.503,13.5071666666667,0.0431321352,40.5729971837796,164,11
"162",1996,62,"A",17,135,6,12,"EGU","A",41.4,1355,20,44.6065,13.1505,0.0437171385,0.457486484391013,164,13
"163",1996,63,"A",17,125,6,12,"EGU","A",41.65,1457,30,44.6243333333333,13.0846666666667,0.0468160749,0.640805536646986,164,14
"164",1996,80,"A",18,160,7,2,"PEC","A",40.5,815,43,41.1241666666667,16.9721666666667,0.0487186,0.882619779714524,184,8
"165",1996,84,"A",17,155,6,17,"EGU","A",38.95,319,6500,45.0011666666667,13.312,0.04171550571,155.817360700048,169,3
"166",1996,95,"C",18,230,7,1,"PEC","C",122.5,800,140,40.7258333333333,18.273,0.045758,3.05957428209275,183,8
"167",1996,103,"B",17,165,6,19,"EGU","B",85.9,848,1600,43.7423333333333,14.9276666666667,0.0395837184,40.4206594194041,171,8
"168",1996,104,"C",17,170,6,19,"EGU","C",116.5,1148,480,43.5565,15.0538333333333,0.0424681115,11.3025981859353,171,11
"169",1996,105,"C",17,205,6,19,"EGU","C",171,1328,300,43.4056666666667,15.1815,0.04418620448,6.78944941142861,171,13
"170",1996,121,"A",18,65,7,14,"PEC","A",16,625,794,41.6726666666667,16.2505,0.0437437,18.1511851992401,196,6
"171",1996,123,"A",18,60,7,13,"PEC","A",39.5,810,2,41.5793333333333,16.3591666666667,0.0438968,0.0455614076652512,195,8
"172",1996,139,"D",18,220,7,14,"PEC","D",222,1315,477,41.9376666666667,16.807,0.070125,6.80213903743316,196,13
"173",1997,1,"A",18,130,8,7,"PEC","A",43.5,1910,67,41.6395,19.3571666666667,0.0353604,1.89477494598477,219,19
"174",1997,2,"A",17,150,6,2,"PRI","A",19.75,930,30,43.998,13.0478333333333,0.041000744336,0.73169403350707,153,9
"175",1997,2,"A",18,65,8,8,"PEC","A",41,1035,7,41.0678333333333,19.3478333333333,0.0624258,0.112133124445342,220,10
"176",1997,4,"B",18,140,8,7,"PEC","B",81,1755,210,41.6248333333333,19.2391666666667,0.0443025,4.74013881835111,219,17
"177",1997,5,"B",18,200,8,7,"PEC","B",80,1645,221,41.5466666666667,19.271,0.0422659,5.22880146879636,219,16
"178",1997,6,"B",18,195,8,7,"PEC","B",93,1530,673,41.4581666666667,19.2626666666667,0.0427845,15.7299956760042,219,15
"179",1997,7,"B",18,180,8,8,"PEC","B",87.5,605,2454,41.2955,19.1705,0.0417473,58.7822446002496,220,6
"180",1997,8,"B",18,175,8,8,"PEC","B",77,735,192,41.2181666666667,19.3155,0.0422659,4.54266914936154,220,7
"181",1997,9,"B",18,170,7,30,"PEC","B",92,1515,1702,40.8438333333333,19.1821666666667,0.0427845,39.7807617244563,211,15
"182",1997,10,"B",18,200,7,30,"PEC","B",90,1615,1650,40.8008333333333,19.1901666666667,0.0427845,38.5653682992673,211,16
"183",1997,11,"B",18,215,7,30,"PEC","B",90,1715,1534,40.7593333333333,19.1933333333333,0.0427845,35.8541060430763,211,17
"184",1997,12,"A",17,135,6,3,"PRI","A",20.5,1452,430,45.1558333333333,12.442,0.039734708986,10.8217729781664,154,14
"185",1997,12,"B",18,155,8,5,"PEC","B",94.5,1130,240,40.8538333333333,19.1696666666667,0.04025,5.96273291925466,217,11
"186",1997,13,"A",17,105,6,3,"PRI","A",24,1615,10,45.15,12.6395,0.0406780645238,0.245832738530349,154,16
"187",1997,13,"B",18,195,8,5,"PEC","B",89,1230,985,40.875,19.1951666666667,0.0477043,20.648033825043,217,12
"188",1997,14,"C",18,165,8,7,"PEC","C",116,1345,48,41.4131666666667,19.1006666666667,0.0430438,1.11514317973785,219,13
