"year","area","haul_number","source"
2012,17,91,"no_few"
2012,17,92,"no_few"
2012,17,93,"no_few"
2012,17,94,"no_few"
2012,17,96,"no_few"
2013,17,100,"no_few"
2013,17,114,"no_few"
2013,17,126,"no_few"
2013,17,128,"no_few"
2013,17,129,"no_few"
2013,17,130,"no_few"
2013,17,131,"no_few"
2013,17,132,"no_few"
2013,17,134,"no_few"
2013,17,137,"no_few"
2013,17,138,"no_few"
2013,17,139,"no_few"
2013,17,14,"no_few"
2013,17,140,"no_few"
2013,17,144,"no_few"
2013,17,146,"no_few"
2013,17,147,"no_few"
2013,17,148,"no_few"
2013,17,151,"no_few"
2013,17,152,"no_few"
2013,17,153,"no_few"
2013,17,154,"no_few"
2013,17,158,"no_few"
2013,17,159,"no_few"
2013,17,167,"no_few"
2013,17,171,"no_few"
2013,17,180,"no_few"
2013,17,28,"no_few"
2013,17,31,"no_few"
2013,17,33,"no_few"
2013,17,34,"no_few"
2013,17,36,"no_few"
2013,17,4,"no_few"
2013,17,45,"no_few"
2013,17,48,"no_few"
2013,17,5,"no_few"
2013,17,63,"no_few"
2013,17,66,"no_few"
2013,17,67,"no_few"
2013,17,89,"no_few"
2013,17,90,"no_few"
2013,17,94,"no_few"
2013,17,98,"no_few"
2013,17,99,"no_few"
2014,17,1,"no_few"
2014,17,133,"no_few"
2014,17,136,"no_few"
2014,17,139,"no_few"
2014,17,149,"no_few"
2014,17,159,"no_few"
2014,17,165,"no_few"
2014,17,19,"no_few"
2014,17,41,"no_few"
2014,17,42,"no_few"
2014,17,43,"no_few"
2014,17,80,"no_few"
2014,17,97,"no_few"
2015,17,10,"no_few"
2015,17,101,"no_few"
2015,17,102,"no_few"
2015,17,104,"no_few"
2015,17,105,"no_few"
2015,17,107,"no_few"
2015,17,108,"no_few"
2015,17,11,"no_few"
2015,17,114,"no_few"
2015,17,116,"no_few"
2015,17,12,"no_few"
2015,17,129,"no_few"
2015,17,13,"no_few"
2015,17,136,"no_few"
2015,17,14,"no_few"
2015,17,148,"no_few"
2015,17,149,"no_few"
2015,17,15,"no_few"
2015,17,150,"no_few"
2015,17,152,"no_few"
2015,17,154,"no_few"
2015,17,155,"no_few"
2015,17,159,"no_few"
2015,17,164,"no_few"
2015,17,165,"no_few"
2015,17,171,"no_few"
2015,17,174,"no_few"
2015,17,179,"no_few"
2015,17,18,"no_few"
2015,17,27,"no_few"
2015,17,28,"no_few"
2015,17,29,"no_few"
2015,17,30,"no_few"
2015,17,31,"no_few"
2015,17,32,"no_few"
2015,17,35,"no_few"
2015,17,40,"no_few"
2015,17,50,"no_few"
2015,17,58,"no_few"
2015,17,59,"no_few"
2015,17,6,"no_few"
2015,17,63,"no_few"
2015,17,65,"no_few"
2015,17,67,"no_few"
2015,17,69,"no_few"
2015,17,7,"no_few"
2015,17,70,"no_few"
2015,17,72,"no_few"
2015,17,74,"no_few"
2015,17,75,"no_few"
2015,17,8,"no_few"
2015,17,81,"no_few"
2015,17,82,"no_few"
2015,17,83,"no_few"
2015,17,86,"no_few"
2015,17,88,"no_few"
2015,17,89,"no_few"
2015,17,9,"no_few"
2015,17,90,"no_few"
2015,17,91,"no_few"
2015,17,92,"no_few"
2015,17,94,"no_few"
2015,17,95,"no_few"
2015,17,98,"no_few"
2015,17,99,"no_few"
2016,17,109,"no_few"
2016,17,110,"no_few"
2016,17,111,"no_few"
2016,17,13,"no_few"
2016,17,154,"no_few"
2016,17,155,"no_few"
2016,17,156,"no_few"
2016,17,157,"no_few"
2016,17,158,"no_few"
2016,17,160,"no_few"
2016,17,161,"no_few"
2016,17,166,"no_few"
2016,17,167,"no_few"
2016,17,171,"no_few"
2016,17,35,"no_few"
2016,17,38,"no_few"
2016,17,45,"no_few"
2016,17,51,"no_few"
2016,17,52,"no_few"
2016,17,58,"no_few"
2016,17,63,"no_few"
2016,17,65,"no_few"
2016,17,7,"no_few"
2016,17,70,"no_few"
2016,17,71,"no_few"
2016,17,75,"no_few"
2016,17,76,"no_few"
2016,17,77,"no_few"
2016,17,86,"no_few"
2016,17,87,"no_few"
2016,17,9,"no_few"
2017,17,117,"no_few"
2017,17,118,"no_few"
2017,17,121,"no_few"
2017,17,37,"no_few"
2017,17,38,"no_few"
2017,17,96,"no_few"
1994,18,109,"no_few"
1994,18,115,"no_few"
1994,18,120,"no_few"
1994,18,125,"no_few"
1994,18,134,"no_few"
1994,18,137,"no_few"
1994,18,84,"no_few"
1994,18,88,"no_few"
1994,18,93,"no_few"
1994,18,95,"no_few"
1995,18,123,"no_few"
1995,18,133,"no_few"
1995,18,134,"no_few"
1995,18,137,"no_few"
1995,18,80,"no_few"
1995,18,81,"no_few"
1995,18,84,"no_few"
