"","year","haul_number","stratum","Val_haul"
"690",2012,139,"D",110
"691",2012,145,"D",85
"692",2012,146,"C",115
"693",2012,147,"C",115
"694",2012,148,"C",95
"695",2012,150,"C",40
"696",2012,151,"D",125
"697",2012,152,"E",35
"698",2012,156,"A",135
"699",2012,158,"C",140
"700",2012,161,"C",80
"701",2012,162,"C",95
"702",2012,167,"D",95
"703",2012,168,"D",100
"704",2012,172,"C",110
"705",2012,174,"D",90
"706",2012,176,"C",100
"707",2012,177,"D",90
"708",2012,179,"C",90
"709",2012,180,"B",105
"710",2013,6,"B",100
"711",2013,13,"B",45
"712",2013,14,"C",75
"713",2013,22,"C",85
"714",2013,23,"C",80
"715",2013,26,"D",110
"716",2013,27,"D",115
"717",2013,31,"D",35
"718",2013,83,"C",100
"719",2013,84,"C",130
"720",2013,88,"B",40
"721",2013,93,"C",130
"722",2013,95,"C",120
"723",2013,97,"C",110
"724",2013,101,"B",55
"725",2013,104,"B",55
"726",2013,107,"C",105
"727",2013,110,"C",120
"728",2013,126,"B",45
"729",2013,129,"B",40
"730",2013,131,"C",50
"731",2013,132,"C",40
"732",2013,133,"C",105
"733",2013,134,"B",55
"734",2013,137,"C",80
"735",2013,138,"C",95
"736",2013,139,"D",115
"737",2013,145,"D",100
"738",2013,148,"C",95
"739",2013,151,"D",155
"740",2013,154,"B",40
"741",2013,157,"C",35
"742",2013,158,"C",130
"743",2013,160,"B",50
"744",2013,161,"C",120
"745",2013,162,"C",100
"746",2013,165,"C",30
"747",2013,167,"D",40
"748",2013,168,"D",95
"749",2013,173,"C",95
"750",2013,174,"D",100
"751",2013,176,"C",30
"752",2013,177,"D",85
"753",2013,179,"C",85
"754",2014,26,"D",90
"755",2014,27,"D",110
"756",2014,77,"D",110
"757",2014,83,"C",110
"758",2014,84,"C",145
"759",2014,85,"D",130
"760",2014,88,"B",55
"761",2014,93,"C",115
"762",2014,95,"C",100
"763",2014,97,"C",105
"764",2014,101,"B",75
"765",2014,104,"B",55
